timestamp;direction;message_id;message_name;signal_name;raw;physical;selected
2026-05-13 13:08:14.677;TX;768;VCU_to_MCU_CurrentCommand;Checksum_300;0;0;1
2026-05-13 13:08:14.686;TX;70;VCU_MCU01;VCU_KL15On;1;1;1
2026-05-13 13:08:14.687;TX;70;VCU_MCU01;VCU_MCUDesiredTorque;1023;1.023e-05;1
2026-05-13 13:08:14.688;TX;70;VCU_MCU01;VCU_MCUSurgeDamperState;2;2;1
2026-05-13 13:08:14.688;TX;70;VCU_MCU01;VCU_BrakepedalStatus;0;0;1
2026-05-13 13:08:14.689;TX;70;VCU_MCU01;VCU_MCURequestedState;1;1;1
2026-05-13 13:08:14.690;TX;70;VCU_MCU01;VCU_TCSActive;0;0;1
2026-05-13 13:08:14.691;TX;70;VCU_MCU01;VCU_ActualGear;4;4;1
2026-05-13 13:08:14.693;TX;70;VCU_MCU01;MessageCounter_046;3;3;1
2026-05-13 13:08:14.694;TX;70;VCU_MCU01;Checksum_046;0;0;1
2026-05-13 13:08:14.694;TX;71;VCU_MCU02;VCU_MinTorqueLimit;1013;-9.99999;1
2026-05-13 13:08:14.695;TX;71;VCU_MCU02;VCU_MaxTorqueGradient;125;4000;1
2026-05-13 13:08:14.697;TX;71;VCU_MCU02;VCU_MaxTorqueLimit;1033;10;1
2026-05-13 13:08:14.697;TX;71;VCU_MCU02;VCU_TrqThresholdDampgCtl;0;0;1
2026-05-13 13:08:14.698;TX;71;VCU_MCU02;MessageCounter_047;3;3;1
2026-05-13 13:08:14.699;TX;71;VCU_MCU02;Checksum_047;0;0;1
2026-05-13 13:08:14.701;TX;71;VCU_MCU02;VCU_MaxSpeed;10;1000;1
2026-05-13 13:08:14.702;TX;768;VCU_to_MCU_CurrentCommand;VCU_IdCommand;32000;0;1
2026-05-13 13:08:14.703;TX;768;VCU_to_MCU_CurrentCommand;VCU_IqCommand;32000;0;1
2026-05-13 13:08:14.704;TX;768;VCU_to_MCU_CurrentCommand;VCU_CurrentCommandEnable;0;0;1
2026-05-13 13:08:14.705;TX;768;VCU_to_MCU_CurrentCommand;MessageCounter_300;3;3;1
2026-05-13 13:08:14.706;TX;768;VCU_to_MCU_CurrentCommand;Checksum_300;0;0;1
2026-05-13 13:08:14.714;TX;70;VCU_MCU01;VCU_KL15On;1;1;1
2026-05-13 13:08:14.714;TX;70;VCU_MCU01;VCU_MCUDesiredTorque;1023;1.023e-05;1
2026-05-13 13:08:14.716;TX;70;VCU_MCU01;VCU_MCUSurgeDamperState;2;2;1
2026-05-13 13:08:14.718;TX;70;VCU_MCU01;VCU_BrakepedalStatus;0;0;1
2026-05-13 13:08:14.719;TX;70;VCU_MCU01;VCU_MCURequestedState;1;1;1
2026-05-13 13:08:14.720;TX;70;VCU_MCU01;VCU_TCSActive;0;0;1
2026-05-13 13:08:14.721;TX;70;VCU_MCU01;VCU_ActualGear;4;4;1
2026-05-13 13:08:14.722;TX;70;VCU_MCU01;MessageCounter_046;4;4;1
